Brand,Description,VendorNo,VendorName,Total_Qty_Sold,Total_Revenue,Unit_Cost,Total_COGS,Gross_Profit
90085,Ch Lilian 09 Ladouys St Este,2,"IRA GOLDMAN AND WILLIAMS, LLP          ",18,665.82,23.86,429.48,236.34000000000003
90609,Flavor Essence Variety 5 Pak,2,"IRA GOLDMAN AND WILLIAMS, LLP          ",24,599.76,17.0,408.0,191.76
771,Bak's Krupnik Honey Liqueur,60,ADAMBA IMPORTS INTL INC    ,47,704.53,11.44,537.68,166.85000000000002
3979,Vesica Potato Vodka,60,ADAMBA IMPORTS INTL INC    ,3931,66871.69,16.27,63957.37,2914.3199999999997
2529,Right Gin,105,ALTAMAR BRANDS LLC         ,12,359.88,23.25,279.0,80.88
8412,Tequila Ocho Plata Fresno,105,ALTAMAR BRANDS LLC         ,307,15346.93,35.71,10962.97,4383.960000000001
8419,Ocho Tequila Plata Corrales,105,ALTAMAR BRANDS LLC         ,6,41.94,5.3,31.799999999999997,10.14
19715,Slices Sangria Red,200,AMERICAN SPIRITS EXCHANGE  ,19,208.81,7.53,143.07,65.74000000000001
20789,Zin-phomaniac Znfdl,200,AMERICAN SPIRITS EXCHANGE  ,84,1511.1599999999999,9.73,817.32,693.8399999999998
24921,Appolo Vyds Seyval,287,APPOLO VINEYARDS LLC       ,48,715.52,10.4,499.20000000000005,216.31999999999994
24922,Appolo Vyds China Girl,287,APPOLO VINEYARDS LLC       ,60,901.4,10.47,628.2,273.19999999999993
2034,Glendalough Double Barrel,388,ATLANTIC IMPORTING COMPANY ,1587,45645.13,21.32,33834.840000000004,11810.289999999994
2119,Glendalough 13 Yr Sngle Malt,388,ATLANTIC IMPORTING COMPANY ,115,9838.85,66.4,7636.000000000001,2202.8499999999995
7241,Glendalough Poitin Shry Cask,388,ATLANTIC IMPORTING COMPANY ,123,3788.77,20.68,2543.64,1245.13
126,Grey Goose Vodka,480,BACARDI USA INC            ,58013,1736610.87,20.14,1168381.82,568229.05
128,Grey Goose Le Citron Vodka,480,BACARDI USA INC            ,4,122.96,24.42,97.68,25.279999999999987
129,Grey Goose L'Orange Vodka,480,BACARDI USA INC            ,9,284.90999999999997,24.99,224.91,59.99999999999997
201,Nassua Royale Liqueur,480,BACARDI USA INC            ,36,701.64,15.47,556.9200000000001,144.7199999999999
278,Cazadores Reposado Tequila,480,BACARDI USA INC            ,69,1997.31,21.96,1515.24,482.06999999999994
443,St Germain Liqueur,480,BACARDI USA INC            ,7705,273863.95,24.45,188387.25,85476.70000000001
508,Bacardi Superior Rum,480,BACARDI USA INC            ,38335,522309.15,9.77,374532.94999999995,147776.20000000007
540,Bacardi Pineapple Fusion,480,BACARDI USA INC            ,4657,4610.43,0.72,3353.04,1257.3900000000003
565,Bombay Dry Gin,480,BACARDI USA INC            ,173,3563.27,15.52,2684.96,878.31
743,Angels Envy Whiskey,480,BACARDI USA INC            ,3216,160767.84,36.5,117384.0,43383.84
802,Bacardi Torched Cherry Rum,480,BACARDI USA INC            ,4962,57060.38,7.99,39646.38,17414.0
803,Bacardi Gold Rum,480,BACARDI USA INC            ,1250,16410.0,9.92,12400.0,4010.0
804,Bacardi Limon Rum,480,BACARDI USA INC            ,275,4039.75,11.56,3179.0,860.75
805,B & B Liqueur Dom,480,BACARDI USA INC            ,12,395.88,26.39,316.68,79.19999999999999
810,Bacardi Black Razz,480,BACARDI USA INC            ,3153,37736.47,7.19,22670.07,15066.400000000001
824,Dewars White Label Scotch,480,BACARDI USA INC            ,6617,178592.83,20.76,137368.92,41223.909999999974
903,Bombay Sapphire Gin,480,BACARDI USA INC            ,9465,251306.34999999998,18.79,177847.34999999998,73459.0
973,Bacardi 1873 Solera Rum,480,BACARDI USA INC            ,157,2353.43,11.9,1868.3000000000002,485.12999999999965
974,Bacardi O Orange Rum,480,BACARDI USA INC            ,49,741.51,12.29,602.2099999999999,139.30000000000007
1020,B & B Dom VAP,480,BACARDI USA INC            ,52,1319.48,18.11,941.72,377.76
1047,Angels Envy Hanover Chop,480,BACARDI USA INC            ,6,275.94,35.38,212.28000000000003,63.65999999999997
1099,Angel's Envy NH Blend Bourbn,480,BACARDI USA INC            ,138,6346.62,33.33,4599.54,1747.08
1106,Aberfeldy Single Cask,480,BACARDI USA INC            ,38,9459.62,155.55,5910.900000000001,3548.7200000000003
1330,Grey Goose Glass Pack,480,BACARDI USA INC            ,2690,136831.1,38.27,102946.3,33884.8
1414,Bacardi 8 Gift Set,480,BACARDI USA INC            ,35,869.65,14.28,499.79999999999995,369.85
1757,Aberfeldy 21 Yr Single Malt,480,BACARDI USA INC            ,18,2879.82,116.78,2102.04,777.7800000000002
2123,Angel's Envy Rye,480,BACARDI USA INC            ,431,34475.689999999995,57.96,24980.760000000002,9494.929999999993
2184,Bonnie Rose Orange Peel,480,BACARDI USA INC            ,535,8035.65,11.36,6077.599999999999,1958.0500000000002
2200,Bonnie Rose Spiced Apple,480,BACARDI USA INC            ,493,7419.07,10.78,5314.54,2104.5299999999997
2258,Dewars Special Reserve 12 Yr,480,BACARDI USA INC            ,4850,66365.5,9.77,47384.5,18981.0
